"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41698750,"El Valle","BRONX","Spanish","violations",10,"A",3,18,"640 Melrose Ave",40.81837,-73.916493,"***"
50002616,"El Valle Cocina Restaurant","BRONX","Spanish","closed",54,"C",2,25,"3535 Jerome Ave",40.8825874,-73.8815918,"**"
41101663,"El Valle Restaurant","BRONX","Latin","violations",52,"C",2.5,29,"450 E 149th St",40.81503,-73.9156,"***"
50045072,"Liberato Restaurant","BRONX","Spanish","violations",13,"A",1.5,21,"1 W 183rd St",40.858589,-73.904167,"**"
50048246,"El Valle Seafood Restaurant","MANHATTAN","Spanish","violations",42,"C",5,4,"231 Sherman Ave",40.865661,-73.919539,"*****"
40510301,"Mayahuel Mariposa","BRONX","Latin","violations",24,"B",4,561,"304 E 6th St",40.72711,-73.98817,"****"
50001750,"El Vez","MANHATTAN","Mexican","violations",12,"A",3.5,483,"259 Vesey St",40.7147356376792,-74.0157609415621,"****"
50001029,"El Viejo Gran Cafe Corp","BRONX","Spanish","violations",17,"B",4.5,3,"498 E 138th St",40.807464,-73.919749,"*****"
41245444,"Cuba Restaurant and Rum Bar","BROOKLYN","Latin","violations",24,"B",4,1344,"222 Thompson St",40.729084,-73.998832,"****"
50019248,"El Viejo Yayo Restaurant","QUEENS","Spanish","violations",12,"A",2.5,55,"97-12 101st Ave",40.68468,-73.84363,"***"
41170072,"El Jiboa","QUEENS","Latin","violations",37,"C",4,6,"251-13 Northern Blvd",40.7690036,-73.7367937,"****"
41571228,"El Omda Egyptian Cuisine","QUEENS","Middle Eastern","violations",17,"B",3.5,52,"33-10 28th Ave",40.7674644,-73.9181613,"****"
41583495,"Electric Room","MANHATTAN","American","violations",5,"A",3,58,"355 W 16th St",40.7417792311574,-74.0030964176164,"***"
40990299,"Cara Mia Restaurant","QUEENS","Chinese","violations",9,"A",4.5,163,"220-20 Hillside Ave",40.7305035426753,-73.7432077459151,"*****"
41112797,"Elegante Pastry Shop","BROOKLYN","Bakery","violations",2,"A",4,46,"165 Avenue U",40.596645,-73.978187,"****"
40754486,"Elegante Pizzeria","BROOKLYN","Pizza","violations",13,"A",4,120,"6922 5th Ave",40.633053,-74.021485,"****"
50040484,"Times Square","MANHATTAN","American","violations",16,"B",3.5,1297,"1 Times Sq",40.7594436140383,-73.9863262268789,"****"
41593277,"Marlow Bistro","BRONX","Mexican","violations",13,"A",4,160,"1018 Amsterdam Ave",40.8028109023738,-73.9641991912535,"****"
40958954,"Elena's Restaurant 43","QUEENS","Latin","violations",12,"A",3,98,"89-48 Francis Lewis Blvd",40.7188450545073,-73.7578457593918,"***"
40368157,"Elephant & Castle","MANHATTAN","American","violations",10,"A",4,495,"68 Greenwich Ave",40.736236,-74.000671,"****"
41427225,"Ruth's Chris Steak House","MANHATTAN","Japanese","violations",10,"A",4,746,"148 W 51st St",40.761351790037,-73.9823232883606,"****"
41196158,"Eleven B","MANHATTAN","Pizza","violations",25,"B",3.5,177,"174 Ave B",40.72745,-73.97974,"****"
